method,item,compareItem,score,compareResult
TM_CCOEFF_NORMED,empty86,empty,52.33346176147461,pass
TM_CCOEFF_NORMED,empty87,empty,50.3934211730957,pass
TM_CCOEFF_NORMED,empty88,empty,50.127166748046875,pass
TM_CCOEFF_NORMED,empty89,empty,65.06897735595703,pass
TM_CCOEFF_NORMED,empty90,empty,67.34540557861328,pass
TM_CCOEFF_NORMED,empty91,empty,64.56214904785156,pass
TM_CCOEFF_NORMED,empty92,empty,63.81928253173828,pass
TM_CCOEFF_NORMED,empty93,empty,63.38125991821289,pass
TM_CCOEFF_NORMED,empty94,empty,59.84832000732422,pass
TM_CCOEFF_NORMED,empty95,empty,64.50042724609375,pass
TM_CCOEFF_NORMED,empty96,empty,71.17174530029297,pass
TM_CCOEFF_NORMED,empty97,empty,46.49165344238281,pass
TM_CCOEFF_NORMED,empty98,empty,67.403564453125,pass
TM_CCOEFF_NORMED,empty99,empty,53.391693115234375,pass
TM_CCOEFF_NORMED,empty100,empty,68.9892578125,pass
TM_CCOEFF_NORMED,empty101,empty,62.955081939697266,pass
TM_CCOEFF_NORMED,empty102,empty,52.20618438720703,pass
TM_CCOEFF_NORMED,empty103,empty,66.42060089111328,pass
TM_CCOEFF_NORMED,empty104,empty,48.05672073364258,pass
TM_CCOEFF_NORMED,empty105,empty,70.69752502441406,pass
TM_CCOEFF_NORMED,empty106,empty,66.127685546875,pass
TM_CCOEFF_NORMED,empty107,empty,70.80591583251953,pass
TM_CCOEFF_NORMED,empty108,empty,70.09772491455078,pass
TM_CCOEFF_NORMED,empty109,empty,65.62347412109375,pass
TM_CCOEFF_NORMED,empty110,empty,60.43267059326172,pass
TM_CCOEFF_NORMED,empty111,empty,50.16282272338867,pass
TM_CCOEFF_NORMED,empty112,empty,66.72109985351562,pass
TM_CCOEFF_NORMED,empty113,empty,70.7115707397461,pass
TM_CCOEFF_NORMED,empty114,empty,70.84647369384766,pass
TM_CCOEFF_NORMED,empty115,empty,71.88111877441406,pass
TM_CCOEFF_NORMED,empty116,empty,68.70486450195312,pass
TM_CCOEFF_NORMED,empty117,empty,62.91887664794922,pass
TM_CCOEFF_NORMED,empty118,empty,67.79116821289062,pass
TM_CCOEFF_NORMED,empty119,empty,52.095741271972656,pass
TM_CCOEFF_NORMED,empty120,empty,49.195858001708984,pass
TM_CCOEFF_NORMED,empty121,empty,68.2837142944336,pass
TM_CCOEFF_NORMED,empty122,empty,66.29094696044922,pass
